,gush_number,lat_lon,restaurant_number
293,34053,"31.645533146935538,34.89123165822423",1
294,34048,"31.644593402910292,34.89979970371172",1
295,34094,"31.635983524640036,34.83798260316696",4
296,4932,"31.911039447823217,34.7155004780765",23
297,34044,"31.63978298427119,34.906604654820676",2
298,34049,"31.637363310629524,34.89220075564212",1
299,34055,"31.632638871874708,34.885873299740986",1
300,4925,"31.907467703460153,34.70990524527635",23
301,4926,"31.90801520301796,34.70332285934428",20
302,4924,"31.904314657881574,34.71638592429778",26
303,34117,"31.633805949330057,34.915442014216694",1
304,34071,"31.633538675843983,34.84899880706451",2
305,34070,"31.632015586557554,34.85499334986327",2
306,4934,"31.907074111144276,34.72282864468202",26
307,4916,"31.90070521746757,34.705869827260116",28
308,4917,"31.897403456470858,34.71266647730106",34
309,34204,"31.626817257673874,34.89662165062358",0
310,4912,"31.892656289624636,34.69619133649139",1
311,4911,"31.89209967811774,34.701967488817886",23
312,4910,"31.89073771628154,34.7104969936378",37
313,11284,"32.602398162263256,34.94050311397683",52
314,11279,"32.59701580984037,34.940871683444506",60
315,12170,"32.50123395170956,35.100320320056774",26
316,20380,"32.46895884362233,35.1147688776004",15
317,1113,"31.681720413984213,34.69000568625627",2
318,12159,"32.49488964057992,35.06387604995144",60
319,1095,"31.67243955589642,34.66232775122006",5
320,2685,"31.66971999132532,34.65245983479094",9
321,3075,"31.67541886154682,34.657392179260846",7
322,12160,"32.488998533880014,35.05079152737321",60
323,2560,"31.64991298829597,34.65593031532424",10
324,1150,"31.6398598428489,34.6550174690669",7
325,20290,"32.58061382648978,35.166879637266824",10
326,20335,"32.52924581943921,35.12576610288179",60
327,20383,"32.47548772671516,35.13036307018822",10
328,10167,"32.51265972567858,34.96415279432286",34
329,20374,"32.47496931909096,35.094276506870116",33
330,14055,"33.02182064427565,35.50144734045432",12
331,14054,"33.02418224721875,35.49650867597844",14
332,14062,"33.018535656844314,35.50678302107997",5
333,14042,"33.00861626219114,35.47382004906276",19
334,14043,"33.00923085568808,35.478967488601654",13
335,14071,"33.009122936926275,35.468920234530124",23
336,14032,"33.00692385107389,35.50391376735515",5
337,14045,"33.005596974047,35.48488259828596",4
338,14073,"33.00626153650653,35.46151972647015",23
339,14072,"33.006913608768535,35.466235998520496",23
340,14046,"33.00486475806035,35.481175913704114",10
341,14047,"33.003538090296914,35.477767750520734",16
342,14070,"33.00099862354653,35.47172726960548",20
343,14069,"33.00445621922991,35.46734689979299",23
344,14034,"33.00142124955865,35.48521665021873",5
345,13678,"32.992743805531894,35.45081897654519",15
346,19549,"32.943357463407644,35.40900416575026",28
347,14066,"33.01479920489733,35.51444658422548",4
348,14064,"33.028855139979946,35.50828607902012",10
349,14065,"33.02424072877641,35.516972576348785",12
350,14459,"32.996699040555704,35.42618004665502",22
351,11518,"32.71419742182375,35.02589979367569",60
352,8380,"32.396336298957436,34.906734446575264",24
353,8479,"32.36257541114063,34.85963063560205",29
354,12285,"32.70942751636216,34.99467315179695",9
355,14053,"33.01808259241442,35.498281905225156",5
356,14063,"33.02632729130492,35.50331483614796",12
357,14061,"33.01347801906317,35.50650740688078",4
358,14060,"33.01291293045358,35.49408716430457",5
359,14041,"33.01424107077571,35.46580423351359",19
360,4290,"31.72154774266066,34.87319977742782",2
361,34334,"31.697006005822303,34.911782507397334",12
362,34337,"31.677050990910022,34.90815209919501",11
363,34051,"31.659631818073372,34.8848222219872",4
364,34047,"31.650972135590155,34.897953592221405",1
365,34043,"31.64804470341638,34.90995727932876",8
366,34330,"31.64977188404772,34.92084546294286",11
367,34127,"31.62473302888296,34.93361935590896",1
368,19556,"32.94831028612856,35.400180920374765",48
369,14324,"33.039802321617515,35.54171659599164",8
370,14373,"33.0603277190049,35.55862897310595",8
371,1963,"31.660419159371145,34.56743753013168",60
372,2390,"31.65994450631569,34.57119205153769",60
373,1964,"31.656883491601434,34.56337400658334",60
374,14010,"33.230704035980395,35.54357384211451",51
375,13341,"33.22543279898012,35.65974215233328",11
376,14015,"33.22218475395481,35.542810250936014",58
377,14027,"33.2226310050688,35.53970824228031",46
378,14029,"33.21802447413494,35.54727694751644",60
379,13330,"33.212971066945606,35.653559431496504",14
380,14359,"33.08978448794436,35.54331859993743",10
381,14353,"33.085633105574544,35.5143410102974",0
382,14357,"33.08923626383751,35.52542155792956",0
383,14356,"33.081111605306816,35.52555881014925",0
384,14016,"33.217039211633335,35.53939754543422",53
385,14030,"33.21644266169647,35.54244347104616",60
386,14017,"33.21296963072569,35.54153464957288",59
387,14026,"33.216466613717586,35.545540033089814",60
388,14360,"33.079594362201654,35.5412286047343",0
389,14399,"33.080794304757234,35.5016531147877",3
390,14354,"33.081163419556525,35.51698921584776",0
391,14018,"33.21255885369753,35.54637759878536",60
392,14352,"33.07935046855683,35.50627416540264",3
393,14367,"33.07703019408725,35.53441717504342",1
394,4279,"31.739415652542103,34.886653206906665",1
395,4283,"31.746013467138454,34.877630079613745",1
396,4280,"31.745260786477537,34.88208526932239",1
397,34327,"31.74528163353467,34.89984336916118",1
398,34340,"31.671920808909956,34.89413246651985",5
399,19565,"32.980202187292086,35.39102674023683",25
400,19529,"32.976780319056225,35.39971484246854",26
401,4285,"31.739312378779246,34.87451261619614",1
402,4284,"31.737653414609326,34.88027924564179",1
403,34045,"31.6631125471308,34.90583014758159",9
404,34320,"31.65839169692273,34.93552654452563",11
405,4286,"31.734661833892172,34.873802318040575",1
406,4289,"31.731010976796558,34.86482127614841",3
407,34050,"31.662740525615053,34.89424568476084",4
408,34073,"31.6627417930956,34.88157373726664",5
409,34041,"31.659067190883345,34.91451656032516",12
410,4288,"31.731952168907547,34.869408780991414",3
411,34046,"31.65806704569056,34.89895572161573",4
412,4287,"31.730235255406637,34.87589309900379",1
413,4275,"31.731732852983733,34.88307090141563",1
414,34042,"31.65376901213058,34.91078491191981",9
415,34321,"31.64771627900151,34.95081440026258",9
416,19557,"32.9542977352664,35.39969506013699",47
417,10399,"32.53602152452695,34.91280527563083",44
418,29881,"31.83505982355865,35.05723928032668",2
419,4851,"31.83035834226727,34.930182163520406",3
420,29886,"31.82632558152032,35.05056912858106",7
421,4330,"31.820682401648668,34.9932085073707",4
422,4329,"31.81881540740269,34.9905564384606",4
423,29662,"31.81296367173823,35.00106737765668",5
424,29642,"31.814588802673175,35.00633999070246",4
425,4567,"31.813362095916176,34.94560084041506",4
426,29645,"31.808262097523507,35.01144003591285",3
427,29643,"31.81452396935329,35.015793835690914",1
428,4557,"31.813402156649286,34.96551697734019",5
429,29693,"31.809250847660962,35.05465773860884",8
430,5129,"31.80663161866801,34.98671960671045",4
431,29691,"31.812448241915504,35.0436533474635",9
432,29661,"31.805409178751017,34.99467591968591",8
433,5132,"31.806334699286854,34.983356048184795",5
434,5069,"31.785811383806003,34.90069571861173",2
435,3856,"31.788513273556816,34.89220930161566",3
436,5071,"31.783544953787803,34.907868198861244",2
437,3859,"31.783495132305692,34.88855211444328",2
438,5062,"31.781852663054767,34.93054900094174",3
439,3855,"31.7839546413026,34.89295633032555",2
440,34349,"31.7772327641702,34.8967384326133",2
441,3854,"31.783893083931034,34.893137834643646",2
442,34350,"31.749853364177856,34.887917278979195",1
443,4281,"31.753469604434894,34.88101771523037",1
444,3861,"31.780864048024856,34.892907549072746",2
445,5072,"31.773627711446736,34.911212013161",1
446,5070,"31.77920875224267,34.907114811007716",2
447,3863,"31.773372369972066,34.88439517570691",1
448,5041,"31.774749465847457,34.92453478259877",2
449,34348,"31.762636910740337,34.895842095891794",1
450,4282,"31.75319033886233,34.87826209226592",1
451,3860,"31.77918948715772,34.887778163102865",2
452,5046,"31.778218847347766,34.93398809714896",2
453,3862,"31.77491219581159,34.89083113228887",1
454,4333,"31.829211374993047,34.98664501394126",3
455,4331,"31.826881398846762,34.99561823385949",5
456,29890,"31.822880368537504,35.05951564911218",10
457,4899,"31.88697919174778,34.68688393545315",1
458,29640,"31.820493016713346,35.00365773754998",4
459,4900,"31.886447836772664,34.69234904300333",1
460,4901,"31.885700605696005,34.697482750503966",6
461,5765,"31.82761845385592,35.003733012021534",5
462,4902,"31.883123028357733,34.70396877859901",26
463,10400,"32.532317412533885,34.913421571802736",46
464,5769,"31.812890360335984,35.03176829972531",2
465,4903,"31.881271606708733,34.71114039882575",38
466,4852,"31.826624733886725,34.924726886365846",5
467,29641,"31.813085059199107,34.99289039354895",5
468,10222,"32.533180531516976,34.937097991538764",57
469,11005,"32.60669589880054,34.93516317289566",17
470,12284,"32.711502221412346,34.9865285815126",11
471,5400,"31.818048346290208,35.051894746871476",8
472,5367,"31.84933336506633,35.049026462808484",4
473,4568,"31.813320088733942,34.95347528462226",5
474,5372,"31.844924271033324,35.059543607508445",4
475,5369,"31.845047331671797,35.05292747403929",4
476,5371,"31.840362419539325,35.061791124279",4
477,5397,"31.834979656115713,35.04929958821363",2
478,5395,"31.833619293300227,35.040743614332946",2
479,5394,"31.834964691959684,35.032394431196",2
480,11004,"32.61362884802004,34.93594581850668",23
481,5056,"31.777406442598757,34.95734202616936",33
482,5057,"31.77157110472503,34.95494363908406",32
483,5059,"31.773730768828397,34.9687305859661",60
484,5073,"31.76870594482838,34.914912134306554",0
485,5075,"31.76789622163356,34.92744258486562",0
486,5042,"31.770729857861618,34.93052148245852",0
487,34301,"31.677928613607367,35.03325760760228",3
488,34289,"31.68680352520521,35.02898530894406",11
489,34303,"31.679281285347404,35.04742033311857",3
490,29727,"31.774985929527965,35.046589400114506",9
491,29726,"31.774484907181893,35.051728314595124",8
492,29722,"31.773279050957125,35.04034453241153",8
493,29724,"31.76871217913471,35.0479273477434",5
494,5687,"31.899486455225887,35.016807779466895",60
495,2781,"31.74025738002171,34.80052559596726",8
496,16569,"32.70716286915967,35.301439679488944",60
497,16518,"32.69971207805204,35.294061163917185",60
498,2243,"31.780001245131817,34.76988023475844",24
499,1041,"31.723612240170922,34.71487504709632",26
500,34165,"31.69820011496555,34.93373860278981",9
501,34154,"31.680968768499742,34.95963498534754",16
502,34155,"31.674292677619764,34.95956483726774",12
503,5061,"31.76775650787746,34.93523289005818",0
504,34347,"31.75880514910094,34.91614416653771",0
505,5074,"31.76373335942795,34.924076526558544",0
506,34325,"31.66016855662402,34.94322761515998",10
507,29867,"31.758529173680895,35.05370075331841",3
508,29670,"31.762800769402638,35.02839388726092",12
509,29674,"31.75940779621394,35.03755455823156",5
510,29671,"31.755307525019944,35.0291640863905",7
511,5221,"31.756186383229153,35.021466584663294",40
512,34166,"31.697206293526957,34.94041545672348",10
513,34309,"31.64690346036598,34.994079606562984",1
514,34311,"31.645327546856855,34.96955549187031",6
515,5226,"31.753820946523422,35.009412072759964",60
516,29675,"31.750816047561432,35.037764435411944",6
517,5222,"31.74725747299159,35.02155793311547",39
518,29871,"31.752404191733184,35.07002535207783",3
519,29870,"31.754148679922555,35.058973350261425",3
520,29872,"31.747051557636897,35.063329872981484",8
521,29672,"31.743910120833167,35.029517485928885",6
522,34346,"31.73932444555225,34.90871339463372",1
523,29715,"31.778882697080327,35.03750405668661",7
524,29829,"31.752766335148774,35.07858020847328",3
525,29873,"31.743385185023193,35.074649209242985",9
526,29855,"31.743827378407246,35.082710519253226",9
527,29857,"31.737455599572215,35.083885063075165",15
528,29766,"31.73329907856011,35.032840751589376",8
529,29784,"31.730900874423245,35.06431432405992",10
530,29776,"31.731626035749514,35.07307008823893",15
531,29874,"31.734958828319186,35.07828082700936",15
532,29859,"31.730013423484003,35.08332149264935",17
533,29781,"31.729229786625787,35.051445936498716",4
534,34310,"31.628961782134724,34.98061568016649",1
535,34317,"31.63043568089775,34.96897357019743",2
536,5044,"31.77093359709406,34.94938210402346",6
537,29838,"31.766616007760813,35.10749051128862",11
538,29779,"31.72608888350065,35.040385247843666",4
539,5078,"31.72225957010715,34.92352530444401",2
540,5080,"31.720732508734656,34.919026254815435",2
541,5082,"31.72093052134899,34.92239603885926",2
542,5058,"31.77420948630182,34.96325491888535",60
543,5060,"31.772741486605536,34.97533067425937",60
544,5043,"31.76551615395861,34.94302008835485",2
545,5184,"31.765927427830057,34.96380914149225",60
546,2926,"31.670162003386412,34.72542806040196",2
547,34161,"31.713532723570065,34.91766008657898",5
548,5188,"31.76270331216308,34.96836583660193",60
549,5055,"31.78001281616314,34.9503548753451",5
550,5045,"31.7742822797753,34.94163963357016",1
551,34163,"31.705599614225445,34.92503971918906",3
552,29810,"31.695890910601406,35.04495390402615",4
553,5063,"31.77419114375989,34.959255994753164",47
554,29716,"31.781277860856093,35.048116421508894",8
555,19522,"32.961309426357126,35.391603273149386",51
556,19575,"32.96338397167063,35.37204287179133",50
557,19527,"32.96295894896729,35.40043915909067",44
558,19517,"32.95964973389177,35.382765187500794",50
559,19514,"32.973179002046656,35.38868241314035",27
560,2591,"31.755360528929394,34.688738143283025",25
561,2594,"31.75173618265109,34.70808143374484",9
562,2595,"31.747786661415578,34.71542603359961",25
563,2598,"31.747227779105195,34.689587270604875",17
564,2599,"31.742359158278514,34.693330610787356",12
565,334,"31.740683489384004,34.701284557285206",7
566,2525,"31.732578063216355,34.6608149334381",7
567,2752,"31.718372451231513,34.69586080849305",3
568,2766,"31.794819776496716,34.74129189209588",39
569,2517,"31.76421268440094,34.68683120475259",45
570,2592,"31.760477799363,34.70033119547476",19
571,2593,"31.757285415808198,34.71129443160531",11
572,458,"31.75760595408105,34.70032639718868",17
573,2764,"31.78876928217486,34.740614860389464",43
574,2024,"31.756314649910905,34.62667396595942",27
575,2009,"31.753501398287376,34.6405209125836",35
576,2524,"31.73280095269491,34.65320192794514",7
577,2532,"31.726205267506643,34.66520855036735",6
578,528,"31.72574566375717,34.772979268153655",36
579,2715,"31.72760539717359,34.78474960840987",11
580,2714,"31.727130066009668,34.79412078087414",5
