gush_number,school_gan,education_type,ethnicity,religious or not
10804,4,M,J,2
10806,2,M,J,2
10807,2,M,J,2
10814,1,A,A,1
10816,7,M,J,2
10819,2,M,J,2
10826,1,M,J,2
10828,2,O,O,0
10829,1,M,J,2
10864,2,H,J,4
10870,2,M,J,2
10881,1,M,J,2
10882,3,H,J,4
10885,1,H,J,4
10892,6,M,J,2
10893,3,M,J,2
10906,1,H,J,4
10910,3,M,J,2
10913,4,M,J,2
10914,1,M,J,2
10915,2,M,J,2
10917,1,M,J,2
10918,2,M,J,2
10920,1,H,J,4
10923,3,M,J,2
10964,2,A,A,1
10971,5,M,J,2
10988,1,M,J,2
11002,3,M,J,2
11009,6,M,J,2
11010,1,H,J,4
11011,2,M,J,2
11013,7,M,J,2
11014,1,H,J,4
11015,2,M,J,2
11016,2,H,J,4
11017,2,mixed,J,3
11018,1,M,J,2
11022,4,M,J,2
11023,2,mixed,J,3
11025,2,M,J,2
11035,2,M,J,2
11038,1,M,J,2
11048,2,M,J,2
11049,2,M,J,2
11051,1,M,J,2
11083,1,H,J,4
11092,2,M,J,2
11093,1,M,J,2
11094,1,M,J,2
11097,1,H,J,4
11110,2,mixed,J,3
11116,2,mixed,J,3
11120,1,H,J,4
11128,2,H,J,4
11133,1,H,J,4
11144,18,H,J,4
11145,9,H,J,4
11170,1,M,J,2
11175,1,M,J,2
11181,1,H,J,4
11183,1,M,J,2
11184,8,M,J,2
11189,2,M,J,2
11191,4,M,J,2
11192,5,M,J,2
11193,5,M,J,2
11194,2,M,J,2
11196,2,M,J,2
11200,11,M,J,2
11201,1,M,J,2
11202,1,M,J,2
11203,1,M,J,2
11208,4,M,J,2
11211,3,M,J,2
11215,9,M,J,2
11217,2,mixed,J,3
11230,2,M,J,2
11231,2,M,J,2
11235,1,M,J,2
11236,2,M,J,2
11249,2,M,J,2
11252,3,M,J,2
11269,2,M,J,2
11273,1,A,A,1
11281,1,A,A,1
11285,1,A,A,1
11286,3,A,A,1
11288,1,A,A,1
11292,2,M,J,2
11293,1,M,J,2
11298,2,M,J,2
11301,3,M,J,2
11303,4,H,J,4
11307,3,M,J,2
11309,5,M,J,2
