gush_number,school_gan,education_type,ethnicity,religious or not
5977,1,H,J,4
5979,3,M,J,2
5983,4,H,J,4
5984,1,H,J,4
5985,3,H,J,4
5986,3,H,J,4
5989,1,H,J,4
5992,2,M,J,2
5993,3,A,A,1
5997,2,H,J,4
6001,3,M,J,2
6004,1,M,J,2
6017,1,H,J,4
6018,4,mixed,J,3
6019,11,M,J,2
6020,10,M,J,2
6021,12,M,J,2
6026,1,M,J,2
6034,1,H,J,4
6043,17,M,J,2
6046,2,M,J,2
6049,6,M,J,2
6075,5,H,J,4
6076,2,mixed,J,3
6093,1,H,J,4
6106,5,M,J,2
6107,8,M,J,2
6108,12,M,J,2
6109,3,M,J,2
6110,3,M,J,2
6111,9,H,J,4
6122,66,H,J,4
6123,13,H,J,4
6124,9,H,J,4
6125,9,M,J,2
6126,3,M,J,2
6127,10,M,J,2
6128,11,M,J,2
6130,4,M,J,2
6133,10,M,J,2
6134,15,M,J,2
6135,4,M,J,2
6136,8,H,J,4
6137,2,M,J,2
6142,11,M,J,2
6143,2,M,J,2
6144,10,M,J,2
6145,18,M,J,2
6146,3,H,J,4
6150,7,M,J,2
6154,5,M,J,2
6155,2,M,J,2
6156,10,M,J,2
6157,4,M,J,2
6158,11,M,J,2
6159,8,mixed,J,3
6160,5,M,J,2
6161,10,M,J,2
6162,4,M,J,2
6163,7,M,J,2
6164,1,H,J,4
6166,3,M,J,2
6167,7,M,J,2
6168,6,M,J,2
6176,5,M,J,2
6178,1,M,J,2
6180,10,M,J,2
6181,10,M,J,2
6182,10,M,J,2
6183,8,mixed,J,3
6184,2,H,J,4
6185,5,M,J,2
6186,13,M,J,2
6187,31,H,J,4
6188,26,H,J,4
6189,21,H,J,4
6190,36,H,J,4
6191,7,H,J,4
6192,23,H,J,4
6193,1,M,J,2
6194,3,M,J,2
6195,12,H,J,4
6196,10,H,J,4
6203,11,M,J,2
6204,4,M,J,2
6205,5,M,J,2
6206,1,M,J,2
6207,3,M,J,2
6210,1,M,J,2
6211,2,M,J,2
6212,10,M,J,2
6213,8,M,J,2
6214,2,M,J,2
6217,12,M,J,2
6228,1,H,J,4
6235,3,M,J,2
6236,3,M,J,2
6248,1,M,J,2
6261,1,H,J,4
6262,1,H,J,4
6272,16,H,J,4
6286,13,M,J,2
6287,8,M,J,2
6288,6,M,J,2
6308,2,M,J,2
6319,1,M,J,2
6320,9,H,J,4
6321,5,H,J,4
6322,2,H,J,4
6324,3,H,J,4
6325,5,H,J,4
6326,5,H,J,4
6327,2,mixed,J,3
6328,1,H,J,4
6332,4,M,J,2
6333,1,M,J,2
6334,2,mixed,J,3
6335,1,M,J,2
6337,1,M,J,2
6355,19,M,J,2
6357,21,M,J,2
6360,10,M,J,2
6361,7,M,J,2
6362,22,M,J,2
6366,3,M,J,2
6369,7,H,J,4
6370,10,M,J,2
6371,11,M,J,2
6372,6,M,J,2
6373,23,M,J,2
6374,2,mixed,J,3
6375,6,M,J,2
6376,5,M,J,2
6377,1,M,J,2
6379,7,M,J,2
6381,4,M,J,2
6382,4,mixed,J,3
6383,1,H,J,4
6384,1,M,J,2
6385,6,M,J,2
6386,1,H,J,4
6387,3,M,J,2
6388,13,M,J,2
6389,7,M,J,2
6390,3,H,J,4
6392,14,H,J,4
6393,1,M,J,2
6394,9,H,J,4
6396,3,M,J,2
6397,2,M,J,2
6399,1,H,J,4
6400,7,H,J,4
6401,9,M,J,2
6402,2,M,J,2
6403,2,mixed,J,3
6404,5,M,J,2
6405,10,M,J,2
6406,5,M,J,2
6407,13,M,J,2
6408,2,M,J,2
6410,3,M,J,2
6411,13,M,J,2
6412,15,M,J,2
6414,7,M,J,2
6415,4,M,J,2
6416,6,M,J,2
6417,15,M,J,2
6418,9,M,J,2
6419,1,H,J,4
6423,2,M,J,2
6424,1,M,J,2
6426,10,M,J,2
6427,7,M,J,2
6428,11,M,J,2
6429,6,M,J,2
6430,16,M,J,2
6431,9,M,J,2
6432,4,M,J,2
6433,10,M,J,2
6434,1,M,J,2
6435,8,M,J,2
6436,1,H,J,4
6437,6,M,J,2
6438,7,M,J,2
6439,7,M,J,2
6440,2,mixed,J,3
6441,3,M,J,2
6442,4,M,J,2
6443,6,M,J,2
6444,1,M,J,2
6445,1,M,J,2
6446,10,M,J,2
6447,2,M,J,2
6448,1,M,J,2
6450,1,M,J,2
6451,1,M,J,2
6452,3,M,J,2
6453,3,M,J,2
6454,1,M,J,2
6455,12,M,J,2
6456,10,M,J,2
6468,1,H,J,4
6485,4,M,J,2
6490,11,M,J,2
6491,7,M,J,2
6492,3,M,J,2
6493,5,M,J,2
6494,2,M,J,2
6495,6,M,J,2
6496,1,M,J,2
6497,5,M,J,2
6498,4,M,J,2
6502,3,M,J,2
6504,1,M,J,2
6517,1,M,J,2
6520,2,M,J,2
6524,3,M,J,2
6525,6,M,J,2
6526,9,M,J,2
6527,12,M,J,2
6528,7,M,J,2
6532,2,M,J,2
6534,5,M,J,2
6535,1,M,J,2
6536,15,M,J,2
6537,1,M,J,2
6538,8,M,J,2
6539,4,M,J,2
6540,2,H,J,4
6541,3,M,J,2
6544,3,M,J,2
6545,5,M,J,2
6546,14,M,J,2
6547,2,H,J,4
6551,9,M,J,2
6552,4,M,J,2
6557,3,M,J,2
6558,7,M,J,2
6560,4,M,J,2
6566,1,M,J,2
6577,4,mixed,J,3
6578,3,M,J,2
6579,3,M,J,2
6580,19,M,J,2
6581,12,H,J,4
6582,6,M,J,2
